,Band name,Country of origin,Location,Status,Formed in,Years active,Genre,Lyrical themes,Current/Last label,Discography,Country code,Spotify ID
1653,Rebotte,Brazil,"São Paulo, São Paulo",Unknown,2012,2012-2020,"Metalcore, Melodic Death Metal","Life issues, Redemption, Overcoming",Unsigned/independent,"['Insurgência', 'Fim da Inocência']",BR,03Hu8gGH2F5I9BNYc2Hh4r
1654,Rebreather,United States,"Youngstown, Ohio",Active,1999,"1999-2014, 2017-present","Stoner, Doom Metal",,Aqualamb Records,"['Need Another Seven Astronauts', 'Half Speed Ahead', 'Split EP', 'Besides', 'No. 4', 'Finale', 'Sunflower', 'Turd Sessions - Slowdance Demo Tracks', 'The Clear Album', 'Slowdance', 'Rebreather', 'Pets', 'Orange Crush', 'Drown', 'Choke On It', ""The Line, It's Width And The War Done"", 'A Brief History Remastered (1998-2018)']",US,0JuDs8GRM1jv6PGRgXsHOR
1655,Rebuig,Spain,"Barcelona, Catalonia",Active,2013,2013-present,"Sludge, Doom Metal","Politics, Misery, Social issues",Pick Your Twelve,"[""Dona'm droga ja, que vull oblidar"", 'Mort i futur']",ES,
1656,Rebuild the Evil,Germany,"Essen, North Rhine-Westphalia",Active,2016,2016-present,"Groove Metal, Metalcore",,Unsigned/independent,['The Burial of Silence'],DE,
1657,Rebuke,Brazil,"Campo Grande, Mato Grosso do Sul",Active,2007,2007-present,Black Metal,"Satanism, War",Unsigned/independent,['Go to Hell'],BR,6UItAf4f20itBYIkGZA0La
1658,Reburial,United States,"Green Bay, Wisconsin",Active,2012,2012-present,"Deathcore, Melodic Death Metal",,Unsigned/independent,['Demo'],US,
1659,Rebürn,Italy,"Rome, Lazio",Active,2009,2009-present,Groove Metal,"Rebellion, Hate",Unsigned/independent,['Racing with the Violence'],IT,
1660,Rec/All,Brazil,"Rio de Janeiro, Rio de Janeiro",Active,2016,2016-present,"Heavy, Power Metal","Love, Women",Unsigned/independent,['Rec/All'],BR,
1661,Recalcitrance,United States,"Vienna, Virginia",Split-up,1989,1989-1996,Technical Thrash Metal,"Horror, Nihilism, Psychological/Social Isolation",Unsigned/independent,"['Demo 1989', 'Fragmented Reality']",US,
1662,Recapture,Germany,"Halle (Saale), Saxony-Anhalt",Split-up,2001,2001-2010,Death Metal,"Apocalypse, Death, Splatter",Unsigned/independent,"['Till Their Death', '...Straight from Hell']",DE,
1663,Recarment,Germany,,Split-up,,,Heavy Metal,,Unsigned/independent,['Demo I'],DE,
1664,Recast,Germany,"Munich, Bavaria",Split-up,,,"Thrash, Progressive Metal, Crossover",,Gizeh,"['1994', '1996']",DE,
1665,Recently Vacated Graves: True Zombie Metal,United States,"Washington, D.C.",Active,2001,2001-present,"Death, Thrash Metal","Zombies, Brains",Iron Steel,"['True Zombie Metal', 'Former Human Sergeant', 'RVG:TZM:DVD: Beyond the Grave', 'Millenia of Rot', 'Antietam 1862', 'Consumed by Death', 'Legions of Decay', 'Devoured in Decay']",US,
1666,Recession,Philippines,"Manila, National Capital Region",Active,2012,2012-present,Brutal Death Metal,,Unsigned/independent,['2014 Demo'],PH,
1667,Reche,Chile,Santiago,Unknown,2014,2014-?,"Groove Metal, Hard Rock",,Unsigned/independent,"['Mind Fade', 'Origin, Vol. 1: 1978', 'Origin, Vol. 2: 1985']",CL,1izpLUcrSXQ40xQDebp8TY
1668,Récidive,France,"Nice, Provence-Alpes-Côte d'Azur",Split-up,1976,1976-1983,Heavy Metal,"Love, life issues",I&E SPM Records,"['Demon Queen', ""Can't Stand Living Without You""]",FR,
1669,Recidivist,Malaysia,"Shah Alam, Selangor",Active,2000,2000-present,Death Metal,"Life, Death, Nature",Unsigned/independent,"['Persistent Offender', 'Peaceful of Doom', 'Born in Darkness Compilation Vol. 1', 'Prefabricated Machine', 'Poser Mutation']",MY,
1670,Recidivist,United States,Utah,Active,,,"Death Metal, slc hardcore",,Unsigned/independent,"['Caverns of the Dead', 'Caverns of the Dead']",US,0r5fL6RQjVSLnzBCReFr6y
1671,Recidivist,Australia,"Lilydale, Victoria",Changed name,2015,"2012-2015 (as Law Breaker), 2015-2017, 2017-present (as Reshitivist)",Blackened Death Metal,"Misanthropy, Depression, Anarchy, Transcendence",Unsigned/independent,['Commencement by Failure'],AU,
1672,Recidivus,Brazil,"Recife, Pernambuco",Active,2001,2001-present,Death Metal,Nowadays problems,Moondo,"['...Mentes Ressurgidas', 'Bestial Genocide / Anesthesia', 'Vomitar é a lei']",BR,
1673,Recidivus,Finland,"Seinäjoki, Etelä-Pohjanmaa",Unknown,1998,1998-?,Melodic Death Metal,Revival & Deliverance,Unsigned/independent,"['Back from the Ashes', 'Sounds of Devastation']",FI,
1674,Recipients of Death,United States,"Los Angeles, California",Split-up,1986,1986-1991,Thrash Metal,"War, Killing, Destruction, Evil",Wild Rags Records,"['Recipients of Death', 'Final Flight', 'Final Flight & Recipients of Death']",US,
1675,Reciprocal,United States,"Hollywood, California",Unknown,2007,2007-?,"Technical Death Metal, technical brutal death metal","Death, Apocalypse, Suffering",Unsigned/independent,"['Demo', 'Reciprocal', 'New Order of the Ages']",US,4g5dogrlN3I7ZYm3U38eS7
1676,Recitation,Denmark,"Copenhagen, Hovedstaden",Split-up,2014,2014-?,"Drone, Doom, Death Metal",,Indisciplinarian,"['Recitation', 'Carrion']",DK,1O1dB6VdCVBzJ6FTS2FTrG
1677,Recitations,Norway,"Trondheim, Trøndelag",Active,2015,2015-present,Black Metal,,Avantgarde Music,['The First of the Listeners'],NO,6A1oilDj7Ygj6L997XB6Jq
1678,Recker,United States,"Ridgefield, Washington",Active,,2009-present,"Heavy Metal, Hard Rock",,Unsigned/independent,"['Vita - Amore - Destino', 'Tragedy or Triumph', 'Believe', 'Let It Rock', 'Limited Edition', 'Manifest Destiny']",US,4HmTgmaDM8JSzwWBSD0QgG
1679,Reckless,Germany,"Frankfurt, Hesse",Unknown,2004,2004-?,Thrash Metal,,Unsigned/independent,"['Hate, Pain & Another Kill']",DE,
1680,Reckless,Colombia,Bogota,Active,2020,2020-present,Speed Metal,,Unsigned/independent,['Relentless Assault / Prisoner'],CO,
1681,Reckless,Canada,"Ottawa, Ontario",Split-up,1978,1978-1987,"Heavy Metal, alt z, dance pop, electropop, pop, post-teen pop, uk pop",,Heavy Metal America,"['Reckless', 'Victim of Time', 'Could This Be Love? / Passion & Pain', 'Demo', 'Heart of Steel', ""Hot 'n Ready""]",CA,2kRfqPViCqYdSGhYSM9R0Q
1682,Reckless Abandon,United States,"Phoenix, Arizona",Split-up,,,"Power, Thrash Metal (early); Heavy Metal, Hard Rock (later)",,Unsigned/independent,"['Dead Winter', 'Catharsis']",US,
1683,Reckless Charge,Japan,"Osaka, Osaka Prefecture",Changed name,2012,"2012, 2014-present (as Wrecking Crew)","Heavy, Speed Metal",Heavy Metal,Unsigned/independent,['Demo 2012'],JP,
1684,Reckless Daughter,United Kingdom,"Coventry, West Midlands, England",Split-up,1987,1987-?,"Heavy Metal, Hard Rock",,Unsigned/independent,"[""Twist n' Turn"", 'Masquerade']",GB,
1685,Reckless Flesh,United States,"Menlo Park/Palo Alto, California",Split-up,2011,2011-?,Thrash Metal,,Unsigned/independent,['Reckless Flesh'],US,
1686,Reckless Force,United States,"Manchester, New Hampshire",Active,2012,2012-present,Heavy Metal,"Space odysseys, Mythical conquest, History, Wild adventures",Unsigned/independent,['A Distant Planet'],US,
1687,Reckless Form,Portugal,"Aveiro, Aveiro",Split-up,2007,2007-?,Thrash Metal,,Unsigned/independent,['Promo 2008'],PT,
1688,Reckless Manslaughter,Germany,"Herne, North Rhine-Westphalia",Active,2008,2008-present,Death Metal,"Death, War, Apocalypse",F.D.A. Records,"['Promo 2010', 'Storm of Vengeance', 'Blast into Oblivion', 'Sermon of Ungodly Dreams', 'Reckless Manslaughter / Witchtower', 'Onwards into Darkness', 'Caverns of Perdition', 'Sinister Congregation II']",DE,
1689,Reckless Mind,Chile,Santiago,Active,2012,"2012-2013 (as Nice!), 2013-present",Heavy Metal,Rebellion,Unsigned/independent,"[""Unworthy, Unseen, Unwanted'"", 'Just Once', 'We Are Not']",CL,
1690,Reckless Redemption,United States,"Rockford, Illinois",Active,2008,2008-present,Metalcore (early); Deathcore (later),,Unsigned/independent,"['Origin of Destruction', 'Reckless Redemption']",US,
1691,Reckless Surma,Germany,"Schleswig-Flensburg, Schleswig-Holstein",Active,2009,2009-present,"Death, Thrash Metal","Gore, Zombies, Cannibals, Alcohol, Metal, Death",Unsigned/independent,"['Demo 2011', 'Global Death', 'Maddening Wrath', 'Reckless Surma']",DE,
1692,Reckless Tide,Germany,"Hanover, Lower Saxony",Split-up,2002,"2000-2002 (as Intrepid Leech), 2002-2014",Thrash Metal,,Armageddon Music,"['Insanity or Reality', '7 Minutes of Thrash', 'Repent or Seal Your Fate', 'Helleraser']",DE,
1693,Recklezz,Germany,Hamburg,Split-up,1986,"1985-1986 (as Spicey Virgin), 1986-1991","Heavy, Power Metal",,Unsigned/independent,"['Demo 89', ""The Desert's Still Alive Vol. II - Hard 'n Heavy""]",DE,
1694,Reckon with One,Canada,"Brampton, Ontario",On hold,1998,"1998-2005, 2010-present",Progressive Metal,,Reficul Records,"['Identity Crisis', 'Shock to the System', 'The Purpose of Existence', 'In Human Need', 'Before the Storm']",CA,
1695,Reckoner,Canada,"Vancouver, British Columbia",Split-up,2007,2007-2011,"Thrash, Groove Metal",,Unsigned/independent,"['A Simple Bear Attack', 'Reckoner']",CA,33O2qWAqyMxkedsT5tit1s
1696,Reckoning,Mexico,"Ecatepec, State of Mexico",Active,2015,"2010-2015 (as Cyroth), 2015-present","Heavy, Power Metal",,Unsigned/independent,['Laúdes y cuentos'],MX,
1697,The Reckoning,United States,"Horseheads, New York",Split-up,1989,"1987-1989 (as Overdose), 1989-?",Thrash Metal,"Violence, Anti-Government, Anti-Religion",Unsigned/independent,"['Immoral Majority', 'Absence of Mind', 'This Side of Tomorrow']",US,
1698,Reckoning,Brazil,"Rio de Janeiro, Rio de Janeiro",Changed name,2003,"2003-2009, 2009-present (as Painside)","Thrash, Heavy Metal",,Destroy All Records,['Weakness Sows Its Seeds'],BR,
1699,Reckoning,Germany,"Darmstadt, Hesse",Split-up,1993,1993-?,Thrash Metal,"Fantasy, Murder",Unsigned/independent,['Journey'],DE,
1700,The Reckoning,Belgium,"Westerlo, Antwerp",Unknown,2005,"1993-2005 (as Infernal Legion), 2005-?","Black, Death Metal","Hatred, Anti-Humanity",Shiver Records,"['Deathlike Millennia', 'Counterblast']",BE,
1701,Reckoning,Mexico,Mexico City,Split-up,2000,2000-?,Heavy Metal,"Underground scene, Heavy Metal, Inner Strength",Bbos,"['The Final Reckoning!', 'The Power Plant']",MX,
1702,The Reckoning,United Kingdom,"Yeovil, Somerset, England",On hold,2004,2004-present,Heavy Metal,,Unsigned/independent,"['Defining Armageddon', 'Hell Kisses the Earth']",GB,
1703,Reckoning Hour,Brazil,"Rio de Janeiro, Rio de Janeiro",Active,2012,2012-present,Metalcore,,Famined Records,"['Rise of the Fallen', 'Between Death and Courage', 'Alive: Reckoning Hour (Ao Vivo)', 'Away from the Sun', 'Above the Fire', 'Beyond Conviction', 'Ground Zero']",BR,
1704,Reckoning Storm,Pakistan,"Karachi, Sindh",Active,2006,2006-present,Progressive Metal,Instrumental,Unsigned/independent,"['Age of Peril', '2006-2008', 'The Storm Engine', 'Helemdor']",PK,
1705,Reclaim the Future,Russia,St. Petersburg,Active,2016,2016-present,Melodic Death Metal,,Unsigned/independent,"['The Last Quiet Day', 'Mira']",,
1706,Reclaiming Elysium,United States,"Akron, Ohio",Active,2015,"2004-2006 (as Elysium), 2015-present",Melodic Death Metal,,Unsigned/independent,['A Decade of Silence'],US,
1707,Reclaiming the Sun,Türkiye,Istanbul,Active,,,Technical Death Metal,,Unsigned/independent,"['Croocked Reflection', 'Last Tolls of Existence I', 'Last Tolls of Existence II']",,
1708,Reclamation,United Kingdom,"Surrey, England",Changed name,,"?-1999, 1999-present (as Void)",Black Metal,Misanthropy,Unsigned/independent,['The Days in Woe'],GB,
1709,Reclusa,United States,"Byesville, Ohio",Unknown,2010,2010-?,"Death, Doom Metal, Black, Industrial Metal, Noise","Hatred, Death, Solitude",Crucial Blast,"['Doorway to the Perpetual Suffering', 'Indisposed... / Sodomy in the Seventh Circle', 'The Anticonscience', 'In the Throes of Seclusion / Degenerate Slug', 'Vacancy', 'The Upstairs Light']",US,
1710,Recluse,International,United States / France,Split-up,2013,2013-2017,Raw Black Metal,"Satanism, Blasphemy, Darkness, Death",Graceless Recordings,"['Recluse', 'Frozen Blood', 'The Black Famine', 'Stillbirth in Bethlehem']",,
1711,Recluse Chant,United States,"Centreville, Virginia",Split-up,,,"Thrash, Groove Metal",Christianity,Unsigned/independent,"['Children Having Tea', 'Face Down in Envy']",US,
1712,Reclusiam,United States,"Virginia Beach, Virginia",Unknown,2004,2004-?,"Funeral Doom, Death Metal","Despair, Hopelessness, Extinction, Death",PsycheDOOMelic Records,['Reclusiam'],US,
1713,Reclusion,Sweden,"Gothenburg, Västra Götaland",Unknown,,"1998-? (as Drowned), ? (as Dawn of Time), ?-?","Thrash Metal, gothenburg metal",,Unsigned/independent,"['Shell of Pain', 'Demo']",SE,2WrOzfgB9F7p9mljSTWMNE
1714,Reclvse,United Kingdom,"Swansea, West Glamorgan, Wales",Split-up,2013,2013-2022,Doom Metal,,Unsigned/independent,"['Of Many Names', 'Reclvse', 'Evil Lvrks', 'Olde Gloom', ""Lucifer's Fall / Reclvse"", 'Live in Swansea']",GB,6GqCobDg5whCXyDTbFJG7k
1715,Recoil,United Kingdom,"Ulverston, Cumbria, England",Split-up,2005,2005-2009,Thrash Metal,,Unsigned/independent,['Unholy Confessor'],GB,
1716,Recoil V.O.R,Australia,"Sydney, New South Wales",Active,2002,"2002-2011 (as Recoil), 2011-present","Death Metal, Deathcore",,Unsigned/independent,"['Recoil', 'Demo 2008', 'The Will to Sin', 'Sleep for the Masses', 'Othello']",AU,
1717,The Recoils,Canada,"Vancouver, British Columbia",Active,,,Thrash Metal,Instrumental,Unsigned/independent,"['Quadra\u200b-\u200bThrashed on a Life\u200b-\u200bGlug', 'Electric Grandpa']",CA,
1718,Recon,United States,"Los Angeles, California",Split-up,1987,"1987-1990, 2001, 2002-2007","Progressive Heavy, Power Metal","Religious, Christianity, Life, Love",Millenium Eight Records,"['Recon', 'Behind Enemy Lines', ""Recon '90"", 'Live at Cornerstone 2001', 'Live at Cornerstone 2001 - Greatest Hits Videos']",US,
1719,Recon by Fire,Poland,"Warsaw, Masovia",Unknown,2014,2014-?,"Thrash, Heavy Metal",,Unsigned/independent,['Into the Fire'],PL,
1720,Recondite,Canada,"Ottawa, Ontario",Split-up,1999,1999-2002,"Death Metal, Grindcore","Life, Death, Pyschological, Mental Perspectives",Unsigned/independent,"['Demo I', 'Demo II']",CA,
1721,Recondite,United States,"Colorado Springs, Colorado",Unknown,2003,2003-?,Progressive Death Metal,Ghosts/Vampires/Medieval Wars,Unsigned/independent,['Recondite'],US,
1722,Reconfiguration,Indonesia,"Subang, West Java",Active,,,"Brutal Death Metal, indonesian death metal",,Lord of the Sick Recordings,"['Promo 2017', 'Prognosis']",ID,7gWWtZ7s0h3NpwFWfcnkrM
1723,Reconstructed,Germany,"Hagen, North Rhine-Westphalia",Split-up,2004,2004-2012,Melodic Death Metal,,Unsigned/independent,"['War Psychosis', 'Under A Darkened Sky']",DE,
1724,Reconstructed Torso,Russia,"Khabarovsk, Khabarovsk Krai",Active,,2013-present,Brutal Death Metal,"Aliens, Science fiction",Pathologically Explicit Recordings,['Varied'],,
1725,Recorruptor,United States,"Lansing, Michigan",Active,2013,2013-present,"Melodic Death Metal, Deathcore, melodic deathcore",,Unsigned/independent,"['Recorruptor', 'Bloodmoon', 'Souls of Limbo', 'The Funeral Corridor']",US,78PrfQpzwaz2oOeYdGdRvt
1726,Recourse,United States,"Easton, Maryland",Split-up,1999,1999-?,"Death Metal, Hardcore",,This Dark Reign Recordings,['Weakening the Structure'],US,3WJfNTWTZOGv6l26HQ9wDO
1727,Recovering,International,"Anserma, Caldas, Colombia / Ondarroa, Basque Country, Spain",Unknown,2003,2003-?,Symphonic Power Metal,"Science fiction, Freedom",Unsigned/independent,['The Awakening'],,0aKrbb4gM2GIji3ac98AbL
1728,Recovery,Russia,St. Petersburg,Active,,,"Death Metal, Grindcore",Disease,Difficult Decisions Records,"['Wrong Diagnosis // Late Diagnosis', 'Wrong Diagnosis Late Diagnosis', 'Rubber Bullet']",,6rhXE73UhgRBdZdSP1Zvm9
1729,Recovery Mind,Italy,"Verona, Veneto",Active,2016,2016-present,Heavy Metal,"Rage, Solitude, Mental issues",Unsigned/independent,"['Demo 2017', 'Stay Out']",IT,
1730,Recreant,Italy,"Modena, Emilia-Romagna",Unknown,2006,2006-?,"Death Metal, Grindcore",,Unsigned/independent,['Aspire to Deviance'],IT,
1731,Recreate the Sun,Norway,"Sortland, Nordland",Active,2011,2008-2011 (as In Grief),Melodic Death Metal,,Unsigned/independent,['Recreate the Sun'],NO,
1732,Recreated,Sweden,"Gothenburg, Västra Götaland",Active,2008,2008-present,"Melodic Death Metal, gothenburg metal, swedish melodeath","Dismemberment, Death, Norse Mythology",Unsigned/independent,"['Beware of the Dead', 'Decretoria Quasi Compitum', 'Evila']",SE,3kkWl6Rg0jk74p31arBN44
1733,Recrehate,Germany,"Recklinghausen, North Rhine-Westphalia",Split-up,2007,2007-?,"Death, Thrash Metal",,Unsigned/independent,['Recrehate'],DE,
1734,Recrimination,Poland,"Białystok, Podlaskie",Split-up,1990,"1990-1993, 1994-1996",Death Metal,,Metal Jeers Productions,"['Suffering Men', 'Death Live']",PL,
1735,Recrucide,Chile,Santiago,Active,1993,1993-present,"Death, Thrash Metal, chilean metal","Neurosis, Violence",Australis Records,"['Neurotic', 'Gamma', 'Rebellion', 'Blood Divine', 'Svpremacy', 'The Cycle', 'Terahate', 'Paradox']",CL,4u0TUUkjoiF0pvHt0wlq7q
1736,Recrucifier,United States,"Colorado Springs, Colorado",Split-up,,,"Thrash, Black Metal","National Socialism, Anti-Christian",Unsigned/independent,"['Jewshit Christ', 'The Tapeworm Race', 'Cult of the Thrashing Black']",US,
1737,Recrucifier,Chile,"Talca, Maule",Unknown,2011,2011-?,"Black, Speed Metal",,Unsigned/independent,['Recrucifier'],CL,
1738,Recrucifixion,Brazil,"Vitória da Conquista, Bahia",Unknown,2009,2009-?,Thrash Metal,Anti-Christianity,Blasphemic Ritual Distro,['Irreligion'],BR,
1739,Recrucify,Brazil,"Jacareí, São Paulo",Split-up,,,"Thrash Metal, Crossover",,Unsigned/independent,['Mosh Maniac'],BR,
1740,Recrucify,Peru,Lima,Split-up,2008,"2007-2008 (as Bestia Negra), 2008-2018","Black, Death Metal","Satanism, Evil, Blasphemy",Warhemic Productions,"['Satanic Promiscuity', 'Grimorium Verum', ""Awakening of the Satan's Kommand"", 'Ensayo 06/06/12', 'Impure Flame of Blasphemy', ""Morbid Witches Seduced by Satan's Phallus"", 'Preacher of Darkness Might']",PE,
1741,Recrudescence,United States,"St. Louis, Missouri",Split-up,2005,2005-2009,"Melodic Death, Thrash Metal","Social and Political themes, Anti-Theism, Death",Forced Entry,"['Fall 2006 Attic Demo', 'Tracking the Decline of Human Society']",US,
1742,Rectal Abscess Infection Discharge,United States,"New Alexandria, Pennsylvania",Active,2013,2013-present,"Brutal Death Metal, Grindcore",,Macabre Mastermind Records,"['Butchered Human Garbage Left to Rot', 'Slaughtered Bitches', 'Morbid Obsession with Gore', 'Putrefactive Pathological Examination', 'Sexual Necropsy', 'Whore of Disease', 'Dead Whore on the Floor', 'Rectal Abscess Infection Discharge / Defective Limb Digestor', 'Belligerent Extermination', 'Defecating Maggots', 'Vomiting Katzenjammer', 'Still Rotting', 'Contamination of Corpses', 'Chopped, Cropped and Haphazardly Slain', 'Whore Destruction', 'Pungent Anal Massacre', 'Malicious Mad Woman', 'Bad Taste', 'Violating Her Rotting Caustic Cunt']",US,
1743,Rectal Carnage,Canada,"Kitchener, Ontario",Split-up,2008,2008-2010,"Thrash Metal, Crossover",,Rectacidal Tendencies,['Weapons of Ass Destruction'],CA,
1744,Rectal Collapse,Brazil,"São José dos Campos, São Paulo",Active,2000,2000-present,Brutal Death Metal,Splatter,Lab 6 Music,"['Bodily Harm', 'Penetrating in Your Abdominal Cavity', 'Musick for Sick Minds Vol. 2', 'Neuropsychological Dominance of the Unconscious']",BR,
1745,Rectal Haemorrhage,United Kingdom,"Plymouth, Devon, England",Split-up,2002,2002-2006,"Sludge, Doom Metal","Porn, Gore",Dry Dead Girl Records,"['Demo', 'II']",GB,
1746,Rectal Hygienics,United States,"Chicago, Illinois",Active,2012,2012-present,"Hardcore, Sludge Metal, Noise","Misanthropy, Sex, Drugs",Unsigned/independent,"[""Even the Flies Won't Touch You"", 'Cold Meat b/w Hoard of Violence', 'Ultimate Purity', 'Live @ Varnish', 'Cum Collection']",US,
1747,Rectal Implosion,United Kingdom,"Leeds, West Yorkshire, England",Unknown,2010,2010-?,"Technical, Brutal Death Metal",,Unsigned/independent,"['Mosh in Hell', 'Gas Mask Attack', 'Rectal Implosion vs Foetal Juice']",GB,
1748,Rectal Infection,Italy,"Milan, Lombardy",Split-up,,,"Death Metal, Grindcore",,Unsigned/independent,['Demo 1999'],IT,
1749,Rectal Pus Bakery,International,Denmark / Argentina,Split-up,2011,"2011-?, ?-2012 (as Devouring the Deceased)",Brutal Death Metal,,Unsigned/independent,['Rise of the Rotten'],,
1750,Rectal Rodeo,Germany,"Bautzen, Saxony",Split-up,2015,2015-2021,"Death Metal, Grindcore",,Clabasster Records,"['Born from Porn', 'Gonorrea / Menstrual Cocktail / Mutilated Judge / Rectal Rodeo / Rectal Wench']",DE,
1751,Rectal Rooter,Austria,"Graz, Styria",Active,2010,2010-present,"Brutal Death Metal, Grindcore",,Unsigned/independent,"['Age of Leviathan', 'Exitium']",AT,
1752,Rectal Sludge,Poland,"Sosnowiec/Tychy, Silesia",Split-up,2001,"2001-?, 2005-?","Brutal Death Metal, Grindcore","Gore, Sickness, Death",Unsigned/independent,['Scraps of Children Meat'],PL,
1753,Rectal Slug,Canada,"Barrie, Ontario",Active,,,"Death Metal, Goregrind",,Unsigned/independent,['Demo'],CA,
1754,Rectal Smegma,Netherlands,"Naaldwijk, South Holland",Active,2003,"2003 (as Carnal Rancidity), 2004-present","Goregrind, Brutal Death Metal","Gore, Sex, Excrement",Rotten Roll Rex,"['Licking a Leper', ""Sex, Drugs and Rock' n Drol / Excremental Lesbophonic Putremageddon"", 'Keep on Smiling', 'Porn Grind Excess', 'Because We Care', 'Become the Bitch', '69% of Porngrind', 'Gnork', 'Rectal Smegma / Mixomatosis', 'Rectal Smegma / Cliteater / Last Days of Humanity', 'Rectal Smegma / Formol']",NL,
1755,Rectal Surveillance,Ukraine,Kyiv,Active,2018,2018-present,"Death Metal, Grindcore",,Unsigned/independent,"['UltraMassacre', 'Anal Carnival']",UA,
1756,Rectal Terror,Belarus,Minsk,Split-up,2009,2009-?,Brutal Death Metal,,Unsigned/independent,['Infernal Torture'],BY,
1757,Rectal Ventriloquist,United States,"Nashville, Tennessee",Active,,,Deathcore,Humour,Unsigned/independent,['Impotent Rage'],US,
1758,Rectalgasm,United States,New Jersey,Active,,,"Death Metal, Goregrind",,Unsigned/independent,['Rectalgasm'],US,
1759,Rectificated,Germany,"Recklinghausen, North Rhine-Westphalia",Split-up,1995,1995-2007,Death Metal,,Unsigned/independent,"['Searching for a New Soul', 'Unleash the Hellfire']",DE,
1760,Rectified Spirit,India,"Guwahati, Assam",Active,2005,"2005-2009, 2011-present","Progressive Power Metal, Metalcore, Rock",,Unsigned/independent,"['Rectified Spirit', 'The Waste Land']",IN,
1761,Rectifier,Poland,,Active,,,Melodic Death Metal,,Unsigned/independent,"['Of Flame and Perdition', 'Wormwood']",PL,5WB2DuD4RbIZoXOt1GfXvm
1762,Rectify,Netherlands,"Amsterdam, North Holland",Split-up,2000,2000-2010,Metalcore,Aggression,Garden of Exile Records,"['Have Mercy...', 'Heartbeat']",NL,7eQAXLGgoJbie2PSeR6TZn
1763,Rectocele,Guatemala,"Guatemala City, Guatemala",Active,2016,2016-present,"Grindcore, Goregrind","Gore, Snuff, Horror Movies",Unsigned/independent,"['Demo', 'Rectocele / SxFxCx', 'Rectocele / Cystoblastosis', 'Gore Works 2016', 'Rectocele / Shitstench', 'Rectocele / Cx9', 'Weedeous Mincer / Botched Anastomosis J-Pouch / Rectocele', 'Split con Disgorgement of Intestinal Lymphatic Suppuration, Botched Anastomosis J\u200b-\u200bPouch & Weedeous Mincer', '4 Way Split', 'Pulmonary Fibrosis / Rectocele', 'Four Stages of Decomposition']",GT,
1764,Rectum,Finland,"Oulu, Pohjois-Pohjanmaa",Split-up,1991,"1990-1991 (as Necropsy), 1991-?",Death Metal,,Unsigned/independent,['Enforced Prick'],FI,
1765,Rectum Haemophilia,France,Grand Est,Split-up,2004,2004-?,"Death Metal, Grindcore",,Unsigned/independent,['Rehearsal Release'],FR,
1766,The Rectum Satans,United States,"Reading, Pennsylvania",Split-up,2004,2004-2011,Black Metal,"Feces, Humour, Sex",Luciferic Enema,"['Demo', 'Number II']",US,
1767,Rectumpus,Belgium,"Veurne, West Flanders",Split-up,2003,2003-?,Death Metal,Gore,Unsigned/independent,['Live at The Doze Veurne'],BE,
1768,Rectus,Indonesia,"Blitar, East Java",Active,2016,2016-present,Technical Death Metal,,Rotten Records,"['Over Instinct', 'Negeri Hitam', 'Trojan Win32']",ID,
1769,Recueil Morbide,France,"Blamont, Bourgogne-Franche-Comté",Active,2000,"?-2000 (as Unscared), 2000-present",Brutal Death Metal,"Death, Struggles, Depression",Great Dane Records,"['Mental Torture', 'Never Morbid Enough', 'Hurt by Human Race', 'Flow of Suffering', 'Recueil Morbide', 'Waste of Senses', 'A Neverending Fight', 'Only Hate Left', 'Morbid Collection']",FR,
1770,Recult,United States,,Split-up,,,"Heavy, Speed Metal",,Unsigned/independent,[],US,
1771,Recursion,United States,"Santa Cruz, California",Active,2002,2002-present,"Technical Death Metal, technical brutal death metal",,Unsigned/independent,['Transcendence in Impermanence'],US,4R37RQ8dsykykPkXq1UvQ5
1772,Recursive Damage,United States,"Gig Harbor, Washington",Active,2008,2008-present,"Death Metal, Grindcore","Death, Political, Terror",Unsigned/independent,"['Recursive Damage', '5 song demo']",US,
1773,Recusant,Sweden,"Uppsala, Uppsala",Active,2020,2020-present,Melodic Death Metal,"Sorrow, Dissatisfaction",Unsigned/independent,"['The Collapse', 'Solitude', 'Inhuman', 'Where Actions Fail', 'Virtue']",SE,7HROO2hVmAGhBzdet4JvMS
1774,Recycle,Indonesia,Yogyakarta,Unknown,,?-2016,"Metalcore, Groove Metal",,Unsigned/independent,['Reborn to Destroy'],ID,
1775,Recycle to the Soil,United States,"Ocala, Florida",Active,2004,2004-present,Death Metal,,Unsigned/independent,['Transitions of Creation'],US,
1776,Recycler,Spain,"Santa Cruz de Tenerife, Canary Islands",Split-up,,,"Thrash, Heavy Metal",,Unsigned/independent,['Friend of the Ground'],ES,
1777,Red,Japan,"Osaka, Osaka Prefecture",Active,,,Grindcore,,Unsigned/independent,"['Golden Oath of Allegiance', 'Golden Oath Of Allegiance + Demo + Comp Tracks']",JP,
1778,Red,Türkiye,Istanbul,Split-up,1990,1990-?,"Power, Progressive Metal",,Unsigned/independent,['Future We Saw'],,
1779,Red,United Kingdom,"Essex/London, England",Changed name,1981,"1981-1982, 1982-1985 (as ME262)","NWOBHM, Heavy Metal",,Unsigned/independent,"[""Demo '82"", 'El comienzo', 'Last Warrior']",GB,
